rowCol,hw_len,rd_len,num_intersection
160,'(5, 9)',0.0,6257.40414104,7.0
161,'(5, 10)',0.0,4309.54663763,3.0
162,'(5, 11)',0.0,2412.73359854,0.0
163,'(5, 12)',0.0,3289.27424638,0.0
164,'(5, 13)',0.0,4077.50597022,0.0
165,'(5, 14)',0.0,1856.05700097,0.0
166,'(5, 15)',0.0,571.266106565,0.0
167,'(5, 16)',0.0,2406.55463755,0.0
168,'(5, 17)',0.0,5242.16980617,2.0
169,'(5, 18)',0.0,9364.51747113,9.0
170,'(5, 19)',0.0,11703.6192802,5.0
171,'(5, 20)',0.0,2185.41795172,0.0
172,'(5, 21)',0.0,6981.17986673,1.0
173,'(5, 22)',0.0,8181.44165231,3.0
174,'(5, 23)',0.0,7675.45274489,4.0
175,'(5, 24)',0.0,3271.95111921,1.0
176,'(5, 25)',0.0,4415.35922892,0.0
177,'(5, 26)',0.0,5396.63414259,1.0
178,'(5, 27)',0.0,2619.13767038,0.0
179,'(5, 28)',0.0,2672.99595074,0.0
180,'(5, 29)',0.0,0.0,0.0
181,'(5, 30)',0.0,0.0,0.0
182,'(5, 31)',0.0,0.0,0.0
183,'(5, 32)',0.0,3316.68413309,1.0
184,'(5, 33)',0.0,1931.67684988,0.0
185,'(5, 34)',0.0,4955.09218298,1.0
186,'(5, 35)',0.0,3951.26545621,0.0
187,'(5, 36)',0.0,7529.73687254,1.0
188,'(5, 37)',0.0,2123.00468263,0.0
189,'(5, 38)',0.0,930.1835848060001,0.0
190,'(6, 1)',2550.85473005,12256.156917,25.0
191,'(6, 2)',0.0,11382.4818546,9.0
192,'(6, 3)',0.0,30049.7877663,71.0
193,'(6, 4)',0.0,35619.6404935,96.0
194,'(6, 5)',0.0,13735.1155162,24.0
195,'(6, 6)',1387.47608835,16701.062325400002,25.0
196,'(6, 7)',2445.08789602,19770.5274377,28.0
197,'(6, 8)',2548.23058471,26274.8288747,36.0
198,'(6, 9)',2100.60287962,19140.0421536,24.0
199,'(6, 10)',2750.75581655,24397.258644999998,64.0
200,'(6, 11)',1986.28018881,6268.33832009,9.0
201,'(6, 12)',0.0,8557.90833086,6.0
202,'(6, 13)',0.0,3364.11312012,1.0
203,'(6, 14)',0.0,6633.35527,2.0
204,'(6, 15)',0.0,2605.3414179,0.0
205,'(6, 16)',0.0,4350.98818136,1.0
206,'(6, 17)',0.0,6546.86087454,4.0
207,'(6, 18)',0.0,13867.036011700002,19.0
208,'(6, 19)',0.0,17120.1378363,18.0
209,'(6, 20)',0.0,10432.7944014,10.0
210,'(6, 21)',0.0,8773.11675128,6.0
211,'(6, 22)',288.37332243599997,8837.03734398,6.0
212,'(6, 23)',1009.33969474,13544.900083200002,19.0
213,'(6, 24)',0.0,15035.2261394,25.0
214,'(6, 25)',0.0,5751.5294822999995,2.0
215,'(6, 26)',0.0,9374.62533745,2.0
216,'(6, 27)',0.0,5807.05436967,1.0
217,'(6, 28)',0.0,4005.62577814,1.0
218,'(6, 29)',0.0,4514.16022266,3.0
219,'(6, 30)',0.0,2808.68608751,0.0
220,'(6, 31)',0.0,1620.97224037,0.0
221,'(6, 32)',0.0,4836.82774111,6.0
222,'(6, 33)',0.0,6858.98976293,0.0
223,'(6, 34)',0.0,5083.66126196,1.0
224,'(6, 35)',0.0,4511.81836458,0.0
225,'(6, 36)',0.0,3660.71972309,0.0
226,'(6, 37)',0.0,362.704994561,0.0
227,'(6, 38)',0.0,6340.75837967,0.0
228,'(7, 1)',2044.20710122,15238.4477074,10.0
229,'(7, 2)',0.0,10432.3425162,7.0
